type,reason,band,percent,year
Academic,For registration as a nurse (including CGFNS),4,0.00299467613132209,2023-2024
Academic,For registration as a nurse (including CGFNS),4.5,0.00624815143448683,2023-2024
Academic,For registration as a nurse (including CGFNS),5,0.01948388050872522,2023-2024
Academic,For registration as a nurse (including CGFNS),5.5,0.06691807157645667,2023-2024
Academic,For registration as a nurse (including CGFNS),6,0.17350635906536527,2023-2024
Academic,For registration as a nurse (including CGFNS),6.5,0.282312925170068,2023-2024
Academic,For registration as a nurse (including CGFNS),7,0.26715468796214137,2023-2024
Academic,For registration as a nurse (including CGFNS),7.5,0.1357586512866016,2023-2024
Academic,For registration as a nurse (including CGFNS),8,0.03889381839692398,2023-2024
Academic,For registration as a nurse (including CGFNS),8.5,0.0056935817805383,2023-2024
Academic,For registration as a nurse (including CGFNS),9,7.394262052647145e-5,2023-2024
Academic,(Other),<4,0.00886892894579984,2023-2024
Academic,(Other),4,0.01881692804143629,2023-2024
Academic,(Other),4.5,0.04829095841983023,2023-2024
Academic,(Other),5,0.09764043327235732,2023-2024
Academic,(Other),5.5,0.16083283661850245,2023-2024
Academic,(Other),6,0.19411958152631903,2023-2024
Academic,(Other),6.5,0.1682116210716708,2023-2024
Academic,(Other),7,0.13388691344829712,2023-2024
Academic,(Other),7.5,0.10122705691324276,2023-2024
Academic,(Other),8,0.05485787104597867,2023-2024
Academic,(Other),8.5,0.01281524263663083,2023-2024
Academic,(Other),9,4.316280599346392e-4,2023-2024
General_Training,For employment,<4,0.03826972206670656,2023-2024
General_Training,For employment,4,0.06054170929940733,2023-2024
General_Training,For employment,4.5,0.12211303950526715,2023-2024
General_Training,For employment,5,0.182879978377961,2023-2024
General_Training,For employment,5.5,0.19482358089281004,2023-2024
General_Training,For employment,6,0.16106488542249853,2023-2024
General_Training,For employment,6.5,0.10963532114519586,2023-2024
General_Training,For employment,7,0.06762678816193364,2023-2024
General_Training,For employment,7.5,0.03857860833864232,2023-2024
General_Training,For employment,8,0.01962071339858556,2023-2024
General_Training,For employment,8.5,0.00469121025502422,2023-2024
General_Training,For employment,9,1.5444313596787583e-4,2023-2024
General_Training,For higher education extended course (three months or more),<4,0.04043869364380453,2023-2024
General_Training,For higher education extended course (three months or more),4,0.06067154704341014,2023-2024
General_Training,For higher education extended course (three months or more),4.5,0.10910613468759284,2023-2024
General_Training,For higher education extended course (three months or more),5,0.1689943002242092,2023-2024
General_Training,For higher education extended course (three months or more),5.5,0.17574758907587995,2023-2024
General_Training,For higher education extended course (three months or more),6,0.1498689861962776,2023-2024
General_Training,For higher education extended course (three months or more),6.5,0.10899808206596612,2023-2024
General_Training,For higher education extended course (three months or more),7,0.08247116345660337,2023-2024
General_Training,For higher education extended course (three months or more),7.5,0.05732191577298144,2023-2024
General_Training,For higher education extended course (three months or more),8,0.03733218077203598,2023-2024
General_Training,For higher education extended course (three months or more),8.5,0.0089143412842054,2023-2024
General_Training,For higher education extended course (three months or more),9,1.3506577703341523e-4,2023-2024
General_Training,For higher education short course (three months or less),<4,0.045025417574437183,2023-2024
General_Training,For higher education short course (three months or less),4,0.06390704429920117,2023-2024
General_Training,For higher education short course (three months or less),4.5,0.12018881626724764,2023-2024
General_Training,For higher education short course (three months or less),5,0.1793754538852578,2023-2024
General_Training,For higher education short course (three months or less),5.5,0.21350762527233116,2023-2024
General_Training,For higher education short course (three months or less),6,0.14996368917937547,2023-2024
General_Training,For higher education short course (three months or less),6.5,0.1038489469862019,2023-2024
General_Training,For higher education short course (three months or less),7,0.05301379811183733,2023-2024
General_Training,For higher education short course (three months or less),7.5,0.04720406681190994,2023-2024
General_Training,For higher education short course (three months or less),8,0.02069716775599128,2023-2024
General_Training,For higher education short course (three months or less),8.5,0.00326797385620915,2023-2024
General_Training,For higher education short course (three months or less),9,0,2023-2024
General_Training,For immigration,<4,0.01318557674956745,2023-2024
General_Training,For immigration,4,0.02121453364328248,2023-2024
General_Training,For immigration,4.5,0.04466452249785052,2023-2024
General_Training,For immigration,5,0.0739568406415523,2023-2024
General_Training,For immigration,5.5,0.1102888259083527,2023-2024
General_Training,For immigration,6,0.16086785763568237,2023-2024
General_Training,For immigration,6.5,0.1770361642730525,2023-2024
General_Training,For immigration,7,0.1578235625046439,2023-2024
General_Training,For immigration,7.5,0.12460805230922736,2023-2024
General_Training,For immigration,8,0.08284346506172445,2023-2024
General_Training,For immigration,8.5,0.03096094852933371,2023-2024
General_Training,For immigration,9,0.00254965024573023,2023-2024
General_Training,For other education purposes,<4,0.02892124959323137,2023-2024
General_Training,For other education purposes,4,0.03563293198828506,2023-2024
General_Training,For other education purposes,4.5,0.0779368695086235,2023-2024
General_Training,For other education purposes,5,0.13537260006508298,2023-2024
General_Training,For other education purposes,5.5,0.17002928734136025,2023-2024
General_Training,For other education purposes,6,0.1794256426944354,2023-2024
General_Training,For other education purposes,6.5,0.15103319232020826,2023-2024
General_Training,For other education purposes,7,0.10872925479986983,2023-2024
General_Training,For other education purposes,7.5,0.07049300357956394,2023-2024
General_Training,For other education purposes,8,0.034249918646274,2023-2024
General_Training,For other education purposes,8.5,0.00789131142206312,2023-2024
General_Training,For other education purposes,9,2.847380410022779e-4,2023-2024
General_Training,For personal reasons,<4,0.02140815105378632,2023-2024
General_Training,For personal reasons,4,0.03320922810983312,2023-2024
General_Training,For personal reasons,4.5,0.0739312545708397,2023-2024
General_Training,For personal reasons,5,0.11834319526627218,2023-2024
