galaxy_name,h_gamma,h_beta,oiii_5007,oi_6300,nii_6583,sii_6716,sii_6731,h_gamma_outlier_flag,h_beta_outlier_flag,oiii_5007_outlier_flag,oi_6300_outlier_flag,nii_6583_outlier_flag,sii_6716_outlier_flag,sii_6731_outlier_flag
NGC 4419,NA,0.08,0.17,0.075,0.98,0.27,0.26,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4424,0.07,0.18,0.05,0.014,0.33,0.21,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4429,NA,0.17,0.18,0.097,1.32,0.19,0.18,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4435,NA,0.16,0.11,0.13,0.68,0.15,0.11,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4438,0.03,0.17,0.27,0.27,1.64,0.83,0.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4448,0.08,0.25,0.06,0.022,0.45,0.12,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4449,0.12,0.31,0.74,0.022,0.14,0.13,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4450,0.29,0.39,0.83,0.67,1.94,1.09,1.06,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
NGC 4457,0.12,0.26,0.23,0.19,1.04,0.48,0.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4459,NA,0.3,0.12,0.13,1.22,0.19,0.19,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4460,0.07,0.22,0.27,0.021,0.23,0.24,0.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4469,NA,0.14,0.13,0.04,0.52,0.28,0.2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4470,0.14,0.35,0.14,0.023,0.29,0.23,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4472,NA,0.33,1.65,1.36,3.43,0.95,0.63,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
NGC 4477,0.07,0.26,0.95,0.12,1.87,0.59,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4485,NA,0.39,0.53,0.18,0.2,0.29,0.23,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4486,0.14,0.23,0.43,0.3,2.12,0.84,0.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4490,NA,0.16,0.4,0.12,0.25,0.35,0.35,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4494,NA,0.56,0.65,0.48,1.61,0.88,0.88,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4496,0.14,0.37,0.73,0.027,0.12,0.16,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4496,0.04,0.12,0.03,0.019,0.4,0.15,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4501,0.11,0.28,1.47,0.19,2.1,0.48,0.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4517,NA,0.13,0.16,0.054,0.51,0.34,0.22,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4526,NA,0.18,0.07,0.046,0.8,0.15,0.17,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4527,0.03,0.1,0.1,0.075,0.75,0.26,0.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4532,0.09,0.25,0.68,0.018,0.09,0.11,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4535,0.07,0.22,0.03,0.011,0.41,0.11,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4536,0.07,0.19,0.06,0.03,0.47,0.2,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4548,0.2,0.4,0.45,0.23,1.38,0.59,0.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4550,NA,0.3,0.55,0.17,0.55,0.66,0.47,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4552,NA,0.3,0.34,0.13,1.5,0.56,0.48,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4559,0.14,0.27,0.09,0.028,0.42,0.23,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4565,NA,0.2,1.76,0.31,2.5,0.51,0.46,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
